id,version,domain,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,level_9
0740923eca22,v1.0,Physical / Biological,Physical / Biological,Structural,Spinal Alignment,Cervical Spine (C1–C7),Upper Cervical (C1–C2),C1 (Atlas),,,
603a2b5eb1e8,v1.0,Physical / Biological,Physical / Biological,Structural,Spinal Alignment,Cervical Spine (C1–C7),Upper Cervical (C1–C2),C2 (Axis),,,
10df3537cc55,v1.0,Physical / Biological,Physical / Biological,Structural,Spinal Alignment,Cervical Spine (C1–C7),Mid Cervical (C3–C5),C3,,,
32989acb6ee6,v1.0,Physical / Biological,Physical / Biological,Structural,Spinal Alignment,Cervical Spine (C1–C7),Mid Cervical (C3–C5),C4,,,
7addd9996df3,v1.0,Physical / Biological,Physical / Biological,Structural,Spinal Alignment,Cervical Spine (C1–C7),Mid Cervical (C3–C5),C5,,,
3c557f60cbb6,v1.0,Physical / Biological,Physical / Biological,Structural,Spinal Alignment,Cervical Spine (C1–C7),Lower Cervical (C6–C7),C6,,,
432bef4b5905,v1.0,Physical / Biological,Physical / Biological,Structural,Spinal Alignment,Cervical Spine (C1–C7),Lower Cervical (C6–C7),C7,,,
bddd50ea7598,v1.0,Physical / Biological,Physical / Biological,Structural,Spinal Alignment,Thoracic Spine (T1–T12),Upper Thoracic (T1–T4),T1,,,
8aa1e39eec44,v1.0,Physical / Biological,Physical / Biological,Structural,Spinal Alignment,Thoracic Spine (T1–T12),Upper Thoracic (T1–T4),T2,,,
5709ac246ea2,v1.0,Physical / Biological,Physical / Biological,Structural,Spinal Alignment,Thoracic Spine (T1–T12),Upper Thoracic (T1–T4),T3,,,
f7bba86f21c0,v1.0,Physical / Biological,Physical / Biological,Structural,Spinal Alignment,Thoracic Spine (T1–T12),Upper Thoracic (T1–T4),T4,,,
d6c5beaff19b,v1.0,Physical / Biological,Physical / Biological,Structural,Spinal Alignment,Thoracic Spine (T1–T12),Mid Thoracic (T5–T8),T5,,,
9dd25ca52b37,v1.0,Physical / Biological,Physical / Biological,Structural,Spinal Alignment,Thoracic Spine (T1–T12),Mid Thoracic (T5–T8),T6,,,
6f12892f8610,v1.0,Physical / Biological,Physical / Biological,Structural,Spinal Alignment,Thoracic Spine (T1–T12),Mid Thoracic (T5–T8),T7,,,
d4e2282f580e,v1.0,Physical / Biological,Physical / Biological,Structural,Spinal Alignment,Thoracic Spine (T1–T12),Mid Thoracic (T5–T8),T8,,,
9b0ae89679aa,v1.0,Physical / Biological,Physical / Biological,Structural,Spinal Alignment,Thoracic Spine (T1–T12),Lower Thoracic (T9–T12),T9,,,
f646f0b56a7c,v1.0,Physical / Biological,Physical / Biological,Structural,Spinal Alignment,Thoracic Spine (T1–T12),Lower Thoracic (T9–T12),T10,,,
8a4a73e33f29,v1.0,Physical / Biological,Physical / Biological,Structural,Spinal Alignment,Thoracic Spine (T1–T12),Lower Thoracic (T9–T12),T11,,,
d3a383665f66,v1.0,Physical / Biological,Physical / Biological,Structural,Spinal Alignment,Thoracic Spine (T1–T12),Lower Thoracic (T9–T12),T12,,,
abdc7475223b,v1.0,Physical / Biological,Physical / Biological,Structural,Spinal Alignment,Lumbar Spine (L1–L5),Upper Lumbar (L1–L2),L1,,,
44a9dd1ad3ab,v1.0,Physical / Biological,Physical / Biological,Structural,Spinal Alignment,Lumbar Spine (L1–L5),Upper Lumbar (L1–L2),L2,,,
7faeab53dd7c,v1.0,Physical / Biological,Physical / Biological,Structural,Spinal Alignment,Lumbar Spine (L1–L5),Lower Lumbar (L3–L5),L3,,,
22fa7b646f0c,v1.0,Physical / Biological,Physical / Biological,Structural,Spinal Alignment,Lumbar Spine (L1–L5),Lower Lumbar (L3–L5),L4,,,
c431018ac0e7,v1.0,Physical / Biological,Physical / Biological,Structural,Spinal Alignment,Lumbar Spine (L1–L5),Lower Lumbar (L3–L5),L5,,,
a8c7bd6172e0,v1.0,Physical / Biological,Physical / Biological,Structural,Spinal Alignment,Sacrum (S1–S5),,S1,,,
a7844d3f0f62,v1.0,Physical / Biological,Physical / Biological,Structural,Spinal Alignment,Sacrum (S1–S5),,S2,,,
5f41a90cc83b,v1.0,Physical / Biological,Physical / Biological,Structural,Spinal Alignment,Sacrum (S1–S5),,S3,,,
a03c2cabddc8,v1.0,Physical / Biological,Physical / Biological,Structural,Spinal Alignment,Sacrum (S1–S5),,S4,,,
d601528ec1ee,v1.0,Physical / Biological,Physical / Biological,Structural,Spinal Alignment,Sacrum (S1–S5),,S5,,,
4ea8a8cb3ac3,v1.0,Physical / Biological,Physical / Biological,Structural,Spinal Alignment,Coccyx (Co1–Co4),,Co1,,,
c31742181ad1,v1.0,Physical / Biological,Physical / Biological,Structural,Spinal Alignment,Coccyx (Co1–Co4),,Co2,,,
211bbe694226,v1.0,Physical / Biological,Physical / Biological,Structural,Spinal Alignment,Coccyx (Co1–Co4),,Co3,,,
562443c9f8bc,v1.0,Physical / Biological,Physical / Biological,Structural,Spinal Alignment,Coccyx (Co1–Co4),,Co4,,,
2aac1784ab75,v1.0,Physical / Biological,Physical / Biological,Structural,Joint Alignment,Upper Limb,Shoulder Complex,Glenohumeral Joint,,,
faa9fa714a4b,v1.0,Physical / Biological,Physical / Biological,Structural,Joint Alignment,Upper Limb,Shoulder Complex,Acromioclavicular (AC) Joint,,,
a79305969607,v1.0,Physical / Biological,Physical / Biological,Structural,Joint Alignment,Upper Limb,Shoulder Complex,Sternoclavicular (SC) Joint,,,
c73c44fc1877,v1.0,Physical / Biological,Physical / Biological,Structural,Joint Alignment,Upper Limb,Shoulder Complex,Scapulothoracic Articulation,,,
28e1e0fc6f13,v1.0,Physical / Biological,Physical / Biological,Structural,Joint Alignment,Upper Limb,Elbow,Humeroulnar Joint,,,
b88a411a10bf,v1.0,Physical / Biological,Physical / Biological,Structural,Joint Alignment,Upper Limb,Elbow,Humeroradial Joint,,,
70eef33cde9d,v1.0,Physical / Biological,Physical / Biological,Structural,Joint Alignment,Upper Limb,Elbow,Proximal Radioulnar Joint,,,
1d0a960e2374,v1.0,Physical / Biological,Physical / Biological,Structural,Joint Alignment,Upper Limb,Wrist,Radiocarpal Joint,,,
ed200eee7ee4,v1.0,Physical / Biological,Physical / Biological,Structural,Joint Alignment,Upper Limb,Wrist,Midcarpal Joint,,,
373b069def96,v1.0,Physical / Biological,Physical / Biological,Structural,Joint Alignment,Upper Limb,Wrist,Distal Radioulnar Joint (DRUJ),,,
20b6e653baeb,v1.0,Physical / Biological,Physical / Biological,Structural,Joint Alignment,Upper Limb,Hand / Fingers,Thumb,Thumb Carpometacarpal (CMC),,
693eb387571f,v1.0,Physical / Biological,Physical / Biological,Structural,Joint Alignment,Upper Limb,Hand / Fingers,Thumb,Thumb Metacarpophalangeal (MCP),,
10563eb7c28e,v1.0,Physical / Biological,Physical / Biological,Structural,Joint Alignment,Upper Limb,Hand / Fingers,Thumb,Thumb Interphalangeal (IP),,
8386b992bca5,v1.0,Physical / Biological,Physical / Biological,Structural,Joint Alignment,Upper Limb,Hand / Fingers,Finger: Index,Metacarpophalangeal (MCP),,
d2c48c813b5a,v1.0,Physical / Biological,Physical / Biological,Structural,Joint Alignment,Upper Limb,Hand / Fingers,Finger: Index,Proximal Interphalangeal (PIP),,
913475a27618,v1.0,Physical / Biological,Physical / Biological,Structural,Joint Alignment,Upper Limb,Hand / Fingers,Finger: Index,Distal Interphalangeal (DIP),,
2891e295f6dd,v1.0,Physical / Biological,Physical / Biological,Structural,Joint Alignment,Upper Limb,Hand / Fingers,Finger: Middle,Metacarpophalangeal (MCP),,
a4b7897f4ca5,v1.0,Physical / Biological,Physical / Biological,Structural,Joint Alignment,Upper Limb,Hand / Fingers,Finger: Middle,Proximal Interphalangeal (PIP),,
0ad84b77e9a0,v1.0,Physical / Biological,Physical / Biological,Structural,Joint Alignment,Upper Limb,Hand / Fingers,Finger: Middle,Distal Interphalangeal (DIP),,
841409508345,v1.0,Physical / Biological,Physical / Biological,Structural,Joint Alignment,Upper Limb,Hand / Fingers,Finger: Ring,Metacarpophalangeal (MCP),,
0c466ce422e5,v1.0,Physical / Biological,Physical / Biological,Structural,Joint Alignment,Upper Limb,Hand / Fingers,Finger: Ring,Proximal Interphalangeal (PIP),,
ee6e2b7a2cbe,v1.0,Physical / Biological,Physical / Biological,Structural,Joint Alignment,Upper Limb,Hand / Fingers,Finger: Ring,Distal Interphalangeal (DIP),,
d4c506b75573,v1.0,Physical / Biological,Physical / Biological,Structural,Joint Alignment,Upper Limb,Hand / Fingers,Finger: Little,Metacarpophalangeal (MCP),,
0a2e62579022,v1.0,Physical / Biological,Physical / Biological,Structural,Joint Alignment,Upper Limb,Hand / Fingers,Finger: Little,Proximal Interphalangeal (PIP),,
15ae8fa4a7f9,v1.0,Physical / Biological,Physical / Biological,Structural,Joint Alignment,Upper Limb,Hand / Fingers,Finger: Little,Distal Interphalangeal (DIP),,
eac21f5186d0,v1.0,Physical / Biological,Physical / Biological,Structural,Joint Alignment,Lower Limb,Hip,Hip (Acetabulofemoral) Joint,,,
c06330fd8487,v1.0,Physical / Biological,Physical / Biological,Structural,Joint Alignment,Lower Limb,Knee,Tibiofemoral Joint,,,
e0c763b5e8cf,v1.0,Physical / Biological,Physical / Biological,Structural,Joint Alignment,Lower Limb,Knee,Patellofemoral Joint,,,
4d3d16ec1f78,v1.0,Physical / Biological,Physical / Biological,Structural,Joint Alignment,Lower Limb,Ankle,Talocrural Joint,,,
ecc238f85d38,v1.0,Physical / Biological,Physical / Biological,Structural,Joint Alignment,Lower Limb,Ankle,Subtalar Joint,,,
527e58d23df7,v1.0,Physical / Biological,Physical / Biological,Structural,Joint Alignment,Lower Limb,Ankle,Distal Tibiofibular Joint (Syndesmosis),,,
f0ec7a4cca87,v1.0,Physical / Biological,Physical / Biological,Structural,Joint Alignment,Lower Limb,Foot,Foot Region,Rearfoot,,
f66d7a70b2a6,v1.0,Physical / Biological,Physical / Biological,Structural,Joint Alignment,Lower Limb,Foot,Foot Region,Midfoot,,
7f7251635615,v1.0,Physical / Biological,Physical / Biological,Structural,Joint Alignment,Lower Limb,Foot,Foot Region,Forefoot,,
4a4b17287e48,v1.0,Physical / Biological,Physical / Biological,Structural,Joint Alignment,Lower Limb,Foot / Toes,Great Toe,Metatarsophalangeal (MTP),,
ce452a83f279,v1.0,Physical / Biological,Physical / Biological,Structural,Joint Alignment,Lower Limb,Foot / Toes,Great Toe,Interphalangeal (IP),,
29482a8756d3,v1.0,Physical / Biological,Physical / Biological,Structural,Joint Alignment,Lower Limb,Foot / Toes,Second Toe,Metatarsophalangeal (MTP),,
f8cee6d3689b,v1.0,Physical / Biological,Physical / Biological,Structural,Joint Alignment,Lower Limb,Foot / Toes,Second Toe,Interphalangeal (IP),,
85405d4a491e,v1.0,Physical / Biological,Physical / Biological,Structural,Joint Alignment,Lower Limb,Foot / Toes,Third Toe,Metatarsophalangeal (MTP),,
70c51196bb08,v1.0,Physical / Biological,Physical / Biological,Structural,Joint Alignment,Lower Limb,Foot / Toes,Third Toe,Interphalangeal (IP),,
d4b520c56137,v1.0,Physical / Biological,Physical / Biological,Structural,Joint Alignment,Lower Limb,Foot / Toes,Fourth Toe,Metatarsophalangeal (MTP),,
0a68830c0ccc,v1.0,Physical / Biological,Physical / Biological,Structural,Joint Alignment,Lower Limb,Foot / Toes,Fourth Toe,Interphalangeal (IP),,
de8aa021fddc,v1.0,Physical / Biological,Physical / Biological,Structural,Joint Alignment,Lower Limb,Foot / Toes,Fifth Toe,Metatarsophalangeal (MTP),,
cdc4dc20764e,v1.0,Physical / Biological,Physical / Biological,Structural,Joint Alignment,Lower Limb,Foot / Toes,Fifth Toe,Interphalangeal (IP),,
ca7faf1e48c8,v1.0,Physical / Biological,Physical / Biological,Structural,Joint Alignment,Axial / Core,Temporomandibular Joint (TMJ),Left TMJ,,,
abb3c98c2608,v1.0,Physical / Biological,Physical / Biological,Structural,Joint Alignment,Axial / Core,Temporomandibular Joint (TMJ),Right TMJ,,,
93098c1a8d97,v1.0,Physical / Biological,Physical / Biological,Structural,Joint Alignment,Axial / Core,Sacroiliac Joint (SI),Left SI Joint,,,
2cafd66d1733,v1.0,Physical / Biological,Physical / Biological,Structural,Joint Alignment,Axial / Core,Sacroiliac Joint (SI),Right SI Joint,,,
845678b625e9,v1.0,Physical / Biological,Physical / Biological,Structural,Joint Alignment,Axial / Core,Ribs,Costovertebral Joints,,,
8711901bf03d,v1.0,Physical / Biological,Physical / Biological,Structural,Joint Alignment,Axial / Core,Ribs,Costotransverse Joints,,,
3f412369a4b2,v1.0,Physical / Biological,Physical / Biological,Structural,Joint Alignment,Axial / Core,Pelvis,Pubic Symphysis,,,
a8a14c795641,v1.0,Physical / Biological,Physical / Biological,Structural,Soft Tissue,Muscle,Head/Neck,,,,
e473f5fb82bb,v1.0,Physical / Biological,Physical / Biological,Structural,Soft Tissue,Muscle,Upper Body,,,,
